item_id,model_name,model_type,expected,parsed_output,is_correct,latency_ms,prompt_tokens,completion_tokens,raw_output
1,llama3.2:3b,local,Governing Law,Governing Law,1,430.23,123,10,"{""category"": ""Governing Law""}"
2,llama3.2:3b,local,Governing Law,Governing Law,1,256.05,165,10,"{""category"": ""Governing Law""}"
3,llama3.2:3b,local,Governing Law,Governing Law,1,251.28,139,10,"{""category"": ""Governing Law""}"
4,llama3.2:3b,local,Governing Law,Governing Law,1,253.13,157,10,"{""category"": ""Governing Law""}"
5,llama3.2:3b,local,Governing Law,Governing Law,1,247.55,124,10,"{""category"": ""Governing Law""}"
6,llama3.2:3b,local,Governing Law,Governing Law,1,248.55,130,10,"{""category"": ""Governing Law""}"
7,llama3.2:3b,local,Governing Law,Governing Law,1,247.4,123,10,"{""category"": ""Governing Law""}"
8,llama3.2:3b,local,Governing Law,Governing Law,1,259.65,169,10,"{""category"": ""Governing Law""}"
9,llama3.2:3b,local,Governing Law,Governing Law,1,255.3,173,10,"{""category"": ""Governing Law""}"
10,llama3.2:3b,local,Governing Law,Governing Law,1,259.26,188,10,"{""category"": ""Governing Law""}"
11,llama3.2:3b,local,Termination,Termination,1,211.37,129,8,"{""category"": ""Termination""}"
12,llama3.2:3b,local,Termination,Termination,1,211.45,125,8,"{""category"": ""Termination""}"
13,llama3.2:3b,local,Termination,Termination,1,218.12,155,8,"{""category"": ""Termination""}"
14,llama3.2:3b,local,Termination,Termination,1,233.32,211,8,"{""category"": ""Termination""}"
15,llama3.2:3b,local,Termination,Termination,1,221.8,148,8,"{""category"": ""Termination""}"
16,llama3.2:3b,local,Termination,Termination,1,219.5,164,8,"{""category"": ""Termination""}"
17,llama3.2:3b,local,Termination,Termination,1,217.55,153,8,"{""category"": ""Termination""}"
18,llama3.2:3b,local,Termination,Termination,1,212.3,125,8,"{""category"": ""Termination""}"
19,llama3.2:3b,local,Termination,Termination,1,214.59,139,8,"{""category"": ""Termination""}"
20,llama3.2:3b,local,Termination,Governing Law,0,261.61,194,10,"{""category"": ""Governing Law""}"
21,llama3.2:3b,local,Non-Compete,Non-Compete,1,252.09,145,10,"{""category"": ""Non-Compete""}"
22,llama3.2:3b,local,Non-Compete,Governing Law,0,246.58,130,10,"{""category"": ""Governing Law""}"
23,llama3.2:3b,local,Non-Compete,Termination,0,224.58,189,8,"{""category"": ""Termination""}"
24,llama3.2:3b,local,Non-Compete,Non-Compete,1,262.51,192,10,"{""category"": ""Non-Compete""}"
25,llama3.2:3b,local,Non-Compete,Non-Compete,1,272.74,225,10,"{""category"": ""Non-Compete""}"
26,llama3.2:3b,local,Non-Compete,Non-Compete,1,257.03,138,10,"{""category"": ""Non-Compete""}"
27,llama3.2:3b,local,Non-Compete,Non-Compete,1,261.47,184,10,"{""category"": ""Non-Compete""}"
28,llama3.2:3b,local,Non-Compete,Exclusivity,0,251.98,212,9,"{""category"": ""Exclusivity""}"
29,llama3.2:3b,local,Non-Compete,Non-Compete,1,345.53,250,10,"{""category"": ""Non-Compete""}"
30,llama3.2:3b,local,Non-Compete,Non-Compete,1,268.7,205,10,"{""category"": ""Non-Compete""}"
31,llama3.2:3b,local,Exclusivity,Exclusivity,1,236.99,124,9,"{""category"": ""Exclusivity""}"
32,llama3.2:3b,local,Exclusivity,Exclusivity,1,231.47,127,9,"{""category"": ""Exclusivity""}"
33,llama3.2:3b,local,Exclusivity,Exclusivity,1,254.07,219,9,"{""category"": ""Exclusivity""}"
34,llama3.2:3b,local,Exclusivity,Exclusivity,1,249.2,164,9,"{""category"": ""Exclusivity""}"
35,llama3.2:3b,local,Exclusivity,Exclusivity,1,246.69,197,9,"{""category"": ""Exclusivity""}"
36,llama3.2:3b,local,Exclusivity,Exclusivity,1,245.26,160,9,"{""category"": ""Exclusivity""}"
37,llama3.2:3b,local,Exclusivity,Governing Law,0,262.55,186,10,"{""category"": ""Governing Law""}"
38,llama3.2:3b,local,Exclusivity,Exclusivity,1,243.79,186,9,"{""category"": ""Exclusivity""}"
39,llama3.2:3b,local,Exclusivity,Exclusivity,1,233.53,148,9,"{""category"": ""Exclusivity""}"
40,llama3.2:3b,local,Exclusivity,Exclusivity,1,236.06,124,9,"{""category"": ""Exclusivity""}"
41,llama3.2:3b,local,Audit Rights,Audit Rights,1,216.87,139,8,"{""category"": ""Audit Rights""}"
42,llama3.2:3b,local,Audit Rights,Audit Rights,1,231.58,212,8,"{""category"": ""Audit Rights""}"
43,llama3.2:3b,local,Audit Rights,Termination,0,225.4,146,8,"{""category"": ""Termination""}"
44,llama3.2:3b,local,Audit Rights,Governing Law,0,249.11,133,10,"{""category"": ""Governing Law""}"
45,llama3.2:3b,local,Audit Rights,Audit Rights,1,238.25,227,8,"{""category"": ""Audit Rights""}"
46,llama3.2:3b,local,Audit Rights,Audit Rights,1,225.85,151,8,"{""category"": ""Audit Rights""}"
47,llama3.2:3b,local,Audit Rights,Audit Rights,1,225.9,183,8,"{""category"": ""Audit Rights""}"
48,llama3.2:3b,local,Audit Rights,Governing Law,0,258.75,171,10,"{""category"": ""Governing Law""}"
49,llama3.2:3b,local,Audit Rights,Governing Law,0,254.09,152,10,"{""category"": ""Governing Law""}"
50,llama3.2:3b,local,Audit Rights,Governing Law,0,251.7,142,10,"{""category"": ""Governing Law""}"
1,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,204.25,95,12,"{""category"": ""Governing Law""}"
2,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,182.71,95,12,"{""category"": ""Governing Law""}"
3,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,268.24,95,12,"{""category"": ""Governing Law""}"
4,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,315.96,95,12,"{""category"": ""Governing Law""}"
5,gpt-4o-mini,cheap_api,Governing Law,Termination,0,313.63,95,12,"{""category"": ""Termination""}"
6,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,271.82,95,12,"{""category"": ""Governing Law""}"
7,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,304.7,95,12,"{""category"": ""Governing Law""}"
8,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,238.79,95,12,"{""category"": ""Governing Law""}"
9,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,217.35,95,12,"{""category"": ""Governing Law""}"
10,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,289.41,95,12,"{""category"": ""Governing Law""}"
11,gpt-4o-mini,cheap_api,Termination,Termination,1,268.23,95,12,"{""category"": ""Termination""}"
12,gpt-4o-mini,cheap_api,Termination,Termination,1,226.08,95,12,"{""category"": ""Termination""}"
13,gpt-4o-mini,cheap_api,Termination,Termination,1,245.91,95,12,"{""category"": ""Termination""}"
14,gpt-4o-mini,cheap_api,Termination,Termination,1,196.06,95,12,"{""category"": ""Termination""}"
15,gpt-4o-mini,cheap_api,Termination,Termination,1,200.04,95,12,"{""category"": ""Termination""}"
16,gpt-4o-mini,cheap_api,Termination,Termination,1,203.79,95,12,"{""category"": ""Termination""}"
17,gpt-4o-mini,cheap_api,Termination,Termination,1,288.52,95,12,"{""category"": ""Termination""}"
18,gpt-4o-mini,cheap_api,Termination,Termination,1,181.43,95,12,"{""category"": ""Termination""}"
19,gpt-4o-mini,cheap_api,Termination,Termination,1,277.47,95,12,"{""category"": ""Termination""}"
20,gpt-4o-mini,cheap_api,Termination,Termination,1,223.55,95,12,"{""category"": ""Termination""}"
21,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,290.3,95,12,"{""category"": ""Non-Compete""}"
22,gpt-4o-mini,cheap_api,Non-Compete,Termination,0,218.15,95,12,"{""category"": ""Termination""}"
23,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,200.69,95,12,"{""category"": ""Non-Compete""}"
24,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,281.83,95,12,"{""category"": ""Non-Compete""}"
25,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,209.86,95,12,"{""category"": ""Non-Compete""}"
26,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,307.31,95,12,"{""category"": ""Non-Compete""}"
27,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,206.32,95,12,"{""category"": ""Non-Compete""}"
28,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,281.73,95,12,"{""category"": ""Non-Compete""}"
29,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,297.61,95,12,"{""category"": ""Non-Compete""}"
30,gpt-4o-mini,cheap_api,Non-Compete,Non-Compete,1,191.69,95,12,"{""category"": ""Non-Compete""}"
31,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,262.39,95,12,"{""category"": ""Exclusivity""}"
32,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,258.62,95,12,"{""category"": ""Exclusivity""}"
33,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,287.2,95,12,"{""category"": ""Exclusivity""}"
34,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,188.6,95,12,"{""category"": ""Exclusivity""}"
35,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,306.16,95,12,"{""category"": ""Exclusivity""}"
36,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,289.18,95,12,"{""category"": ""Exclusivity""}"
37,gpt-4o-mini,cheap_api,Exclusivity,Termination,0,199.64,95,12,"{""category"": ""Termination""}"
38,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,192.3,95,12,"{""category"": ""Exclusivity""}"
39,gpt-4o-mini,cheap_api,Exclusivity,Termination,0,182.47,95,12,"{""category"": ""Termination""}"
40,gpt-4o-mini,cheap_api,Exclusivity,Exclusivity,1,221.27,95,12,"{""category"": ""Exclusivity""}"
41,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,181.61,95,12,"{""category"": ""Audit Rights""}"
42,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,277.9,95,12,"{""category"": ""Audit Rights""}"
43,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,251.54,95,12,"{""category"": ""Audit Rights""}"
44,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,249.27,95,12,"{""category"": ""Audit Rights""}"
45,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,188.27,95,12,"{""category"": ""Audit Rights""}"
46,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,251.58,95,12,"{""category"": ""Audit Rights""}"
47,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,259.75,95,12,"{""category"": ""Audit Rights""}"
48,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,311.81,95,12,"{""category"": ""Audit Rights""}"
49,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,285.23,95,12,"{""category"": ""Audit Rights""}"
50,gpt-4o-mini,cheap_api,Audit Rights,Audit Rights,1,196.48,95,12,"{""category"": ""Audit Rights""}"
1,gpt-4o,top_api,Governing Law,Governing Law,1,531.51,95,12,"{""category"": ""Governing Law""}"
2,gpt-4o,top_api,Governing Law,Governing Law,1,634.33,95,12,"{""category"": ""Governing Law""}"
3,gpt-4o,top_api,Governing Law,Governing Law,1,717.45,95,12,"{""category"": ""Governing Law""}"
4,gpt-4o,top_api,Governing Law,Governing Law,1,573.1,95,12,"{""category"": ""Governing Law""}"
5,gpt-4o,top_api,Governing Law,Governing Law,1,681.68,95,12,"{""category"": ""Governing Law""}"
6,gpt-4o,top_api,Governing Law,Governing Law,1,582.31,95,12,"{""category"": ""Governing Law""}"
7,gpt-4o,top_api,Governing Law,Governing Law,1,647.07,95,12,"{""category"": ""Governing Law""}"
8,gpt-4o,top_api,Governing Law,Governing Law,1,558.09,95,12,"{""category"": ""Governing Law""}"
9,gpt-4o,top_api,Governing Law,Governing Law,1,510.47,95,12,"{""category"": ""Governing Law""}"
10,gpt-4o,top_api,Governing Law,Governing Law,1,538.87,95,12,"{""category"": ""Governing Law""}"
11,gpt-4o,top_api,Termination,Termination,1,706.12,95,12,"{""category"": ""Termination""}"
12,gpt-4o,top_api,Termination,Termination,1,633.34,95,12,"{""category"": ""Termination""}"
13,gpt-4o,top_api,Termination,Termination,1,522.12,95,12,"{""category"": ""Termination""}"
14,gpt-4o,top_api,Termination,Termination,1,680.06,95,12,"{""category"": ""Termination""}"
15,gpt-4o,top_api,Termination,Termination,1,740.43,95,12,"{""category"": ""Termination""}"
16,gpt-4o,top_api,Termination,Termination,1,545.59,95,12,"{""category"": ""Termination""}"
17,gpt-4o,top_api,Termination,Termination,1,639.41,95,12,"{""category"": ""Termination""}"
18,gpt-4o,top_api,Termination,Termination,1,599.37,95,12,"{""category"": ""Termination""}"
19,gpt-4o,top_api,Termination,Termination,1,728.49,95,12,"{""category"": ""Termination""}"
20,gpt-4o,top_api,Termination,Termination,1,706.46,95,12,"{""category"": ""Termination""}"
21,gpt-4o,top_api,Non-Compete,Non-Compete,1,732.98,95,12,"{""category"": ""Non-Compete""}"
22,gpt-4o,top_api,Non-Compete,Non-Compete,1,659.94,95,12,"{""category"": ""Non-Compete""}"
23,gpt-4o,top_api,Non-Compete,Non-Compete,1,653.48,95,12,"{""category"": ""Non-Compete""}"
24,gpt-4o,top_api,Non-Compete,Non-Compete,1,631.52,95,12,"{""category"": ""Non-Compete""}"
25,gpt-4o,top_api,Non-Compete,Non-Compete,1,541.25,95,12,"{""category"": ""Non-Compete""}"
26,gpt-4o,top_api,Non-Compete,Non-Compete,1,671.27,95,12,"{""category"": ""Non-Compete""}"
27,gpt-4o,top_api,Non-Compete,Termination,0,723.48,95,12,"{""category"": ""Termination""}"
28,gpt-4o,top_api,Non-Compete,Non-Compete,1,508.87,95,12,"{""category"": ""Non-Compete""}"
29,gpt-4o,top_api,Non-Compete,Non-Compete,1,649.71,95,12,"{""category"": ""Non-Compete""}"
30,gpt-4o,top_api,Non-Compete,Non-Compete,1,495.0,95,12,"{""category"": ""Non-Compete""}"
31,gpt-4o,top_api,Exclusivity,Exclusivity,1,667.74,95,12,"{""category"": ""Exclusivity""}"
32,gpt-4o,top_api,Exclusivity,Exclusivity,1,633.03,95,12,"{""category"": ""Exclusivity""}"
33,gpt-4o,top_api,Exclusivity,Exclusivity,1,671.89,95,12,"{""category"": ""Exclusivity""}"
34,gpt-4o,top_api,Exclusivity,Exclusivity,1,514.26,95,12,"{""category"": ""Exclusivity""}"
35,gpt-4o,top_api,Exclusivity,Exclusivity,1,675.56,95,12,"{""category"": ""Exclusivity""}"
36,gpt-4o,top_api,Exclusivity,Exclusivity,1,650.25,95,12,"{""category"": ""Exclusivity""}"
37,gpt-4o,top_api,Exclusivity,Exclusivity,1,698.57,95,12,"{""category"": ""Exclusivity""}"
38,gpt-4o,top_api,Exclusivity,Exclusivity,1,590.98,95,12,"{""category"": ""Exclusivity""}"
39,gpt-4o,top_api,Exclusivity,Exclusivity,1,624.4,95,12,"{""category"": ""Exclusivity""}"
40,gpt-4o,top_api,Exclusivity,Exclusivity,1,546.26,95,12,"{""category"": ""Exclusivity""}"
41,gpt-4o,top_api,Audit Rights,Audit Rights,1,567.16,95,12,"{""category"": ""Audit Rights""}"
42,gpt-4o,top_api,Audit Rights,Audit Rights,1,481.41,95,12,"{""category"": ""Audit Rights""}"
43,gpt-4o,top_api,Audit Rights,Audit Rights,1,666.95,95,12,"{""category"": ""Audit Rights""}"
44,gpt-4o,top_api,Audit Rights,Audit Rights,1,511.6,95,12,"{""category"": ""Audit Rights""}"
45,gpt-4o,top_api,Audit Rights,Audit Rights,1,722.73,95,12,"{""category"": ""Audit Rights""}"
46,gpt-4o,top_api,Audit Rights,Audit Rights,1,561.35,95,12,"{""category"": ""Audit Rights""}"
47,gpt-4o,top_api,Audit Rights,Termination,0,566.33,95,12,"{""category"": ""Termination""}"
48,gpt-4o,top_api,Audit Rights,Audit Rights,1,571.05,95,12,"{""category"": ""Audit Rights""}"
49,gpt-4o,top_api,Audit Rights,Audit Rights,1,742.23,95,12,"{""category"": ""Audit Rights""}"
50,gpt-4o,top_api,Audit Rights,Audit Rights,1,496.1,95,12,"{""category"": ""Audit Rights""}"
1,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,223.26,95,12,"{""category"": ""Governing Law""}"
2,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,211.88,95,12,"{""category"": ""Governing Law""}"
3,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,307.36,95,12,"{""category"": ""Governing Law""}"
4,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,272.87,95,12,"{""category"": ""Governing Law""}"
5,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,234.3,95,12,"{""category"": ""Governing Law""}"
6,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,303.66,95,12,"{""category"": ""Governing Law""}"
7,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,276.58,95,12,"{""category"": ""Governing Law""}"
8,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,274.18,95,12,"{""category"": ""Governing Law""}"
9,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,259.63,95,12,"{""category"": ""Governing Law""}"
10,gpt-4o-mini,cheap_api,Governing Law,Governing Law,1,218.13,95,12,"{""category"": ""Governing Law""}"
11,gpt-4o-mini,cheap_api,Termination,Termination,1,204.9,95,12,"{""category"": ""Termination""}"
12,gpt-4o-mini,cheap_api,Termination,Termination,1,270.6,95,12,"{""category"": ""Termination""}"
13,gpt-4o-mini,cheap_api,Termination,Termination,1,232.67,95,12,"{""category"": ""Termination""}"
14,gpt-4o-mini,cheap_api,Termination,Termination,1,300.39,95,12,"{""category"": ""Termination""}"
15,gpt-4o-mini,cheap_api,Termination,Exclusivity,0,316.47,95,12,"{""category"": ""Exclusivity""}"
16,gpt-4o-mini,cheap_api,Termination,Termination,1,211.06,95,12,"{""category"": ""Termination""}"
17,gpt-4o-mini,cheap_api,Termination,Termination,1,189.08,95,12,"{""category"": ""Termination""}"
18,gpt-4o-mini,cheap_api,Termination,Termination,1,295.0,95,12,"{""category"": ""Termination""}"
19,gpt-4o-mini,cheap_api,Termination,Termination,1,224.13,95,12,"{""category"": ""Termination""}"
20,gpt-4o-mini,cheap_api,Termination,Termination,1,219.95,95,12,"{""category"": ""Termination""}"
